,Date,HourlyPrice
370,2020-11-16,16694.28
371,2020-11-16,16386.98
372,2020-11-16,16219.92
373,2020-11-16,16247.18
374,2020-11-16,16237.53
375,2020-11-16,16115.07
376,2020-11-16,16037.35
377,2020-11-16,16022.39
378,2020-11-16,15948.18
379,2020-11-16,15960.72
380,2020-11-16,15974.94
381,2020-11-16,15964.7
382,2020-11-16,15936.43
383,2020-11-16,16227.57
384,2020-11-17,16950.97
385,2020-11-17,17168.97
386,2020-11-17,17328.08
387,2020-11-17,17634.56
388,2020-11-17,17082.08
389,2020-11-17,17636.52
390,2020-11-17,17680.24
391,2020-11-17,17674.99
392,2020-11-17,17624.96
393,2020-11-17,17795.46
394,2020-11-17,16995.06
395,2020-11-17,16674.8
396,2020-11-17,16656.11
397,2020-11-17,16721.46
398,2020-11-17,16809.85
399,2020-11-17,16700.65
400,2020-11-17,16718.7
401,2020-11-17,16583.62
402,2020-11-17,16770.11
403,2020-11-17,16624.12
404,2020-11-17,16635.25
405,2020-11-17,16755.42
406,2020-11-17,16707.11
407,2020-11-17,16680.15
408,2020-11-18,18034.98
409,2020-11-18,17780.92
410,2020-11-18,17654.7
411,2020-11-18,17659.9
412,2020-11-18,17782.58
413,2020-11-18,17897.59
414,2020-11-18,17817.77
415,2020-11-18,17889.57
416,2020-11-18,17708.34
417,2020-11-18,17875.85
418,2020-11-18,18251.12
419,2020-11-18,18252.85
420,2020-11-18,18116.07
421,2020-11-18,17681.54
422,2020-11-18,17717.22
423,2020-11-18,17757.52
424,2020-11-18,17694.71
425,2020-11-18,18043.68
426,2020-11-18,17608.52
427,2020-11-18,17645.35
428,2020-11-18,17789.97
429,2020-11-18,18072.94
430,2020-11-18,18219.09
431,2020-11-18,18373.77
432,2020-11-19,17715.27
433,2020-11-19,17937.95
434,2020-11-19,18042.58
435,2020-11-19,17966.82
436,2020-11-19,17943.93
437,2020-11-19,17968.95
438,2020-11-19,18011.76
439,2020-11-19,18059.79
440,2020-11-19,18124.65
441,2020-11-19,17997.19
442,2020-11-19,17759.15
443,2020-11-19,17826.84
444,2020-11-19,17433.12
445,2020-11-19,17535.71
446,2020-11-19,17663.78
447,2020-11-19,17764.21
448,2020-11-19,17902.0
449,2020-11-19,17862.5
450,2020-11-19,17927.71
451,2020-11-19,17938.47
452,2020-11-19,17865.81
453,2020-11-19,17768.0
454,2020-11-19,17786.27
455,2020-11-19,17612.63
456,2020-11-20,18253.38
457,2020-11-20,18634.6
458,2020-11-20,18672.45
459,2020-11-20,18694.06
460,2020-11-20,18582.68
461,2020-11-20,18242.22
462,2020-11-20,18583.35
463,2020-11-20,18624.36
464,2020-11-20,18641.76
465,2020-11-20,18692.21
466,2020-11-20,18282.01
467,2020-11-20,17971.67
468,2020-11-20,18194.44
469,2020-11-20,17875.88
470,2020-11-20,17824.64
471,2020-11-20,17790.37
472,2020-11-20,17977.05
473,2020-11-20,17956.28
474,2020-11-20,18300.09
475,2020-11-20,18136.02
476,2020-11-20,18165.03
477,2020-11-20,18214.99
478,2020-11-20,18305.46
479,2020-11-20,18195.1
480,2020-11-21,18656.24
481,2020-11-21,18653.16
482,2020-11-21,18680.3
483,2020-11-21,18744.35
484,2020-11-21,18762.23
485,2020-11-21,18745.08
486,2020-11-21,18802.73
487,2020-11-21,18746.76
488,2020-11-21,18644.99
489,2020-11-21,18540.64
490,2020-11-21,18597.01
491,2020-11-21,18810.59
492,2020-11-21,18789.32
493,2020-11-21,18671.91
494,2020-11-21,18637.64
495,2020-11-21,18660.63
496,2020-11-21,18584.46
497,2020-11-21,18667.08
498,2020-11-21,18735.87
499,2020-11-21,18844.84
500,2020-11-21,18865.08
501,2020-11-21,18672.78
502,2020-11-21,18622.66
503,2020-11-21,18629.04
504,2020-11-22,18202.91
505,2020-11-22,18195.32
506,2020-11-22,18308.45
507,2020-11-22,18546.43
508,2020-11-22,18585.2
509,2020-11-22,18511.13
510,2020-11-22,18575.75
511,2020-11-22,18563.14
512,2020-11-22,18105.5
513,2020-11-22,18485.42
514,2020-11-22,17880.19
515,2020-11-22,18460.82
516,2020-11-22,18370.82
517,2020-11-22,18173.48
518,2020-11-22,18704.06
519,2020-11-22,18549.78
520,2020-11-22,18586.46
521,2020-11-22,18567.91
522,2020-11-22,18631.33
523,2020-11-22,18511.36
524,2020-11-22,18473.54
525,2020-11-22,18496.14
526,2020-11-22,18215.47
527,2020-11-22,18587.42
528,2020-11-23,18572.04
529,2020-11-23,18395.19
530,2020-11-23,18449.67
531,2020-11-23,18350.55
532,2020-11-23,18351.42
533,2020-11-23,18389.47
534,2020-11-23,18278.0
535,2020-11-23,18546.79
536,2020-11-23,18596.37
537,2020-11-23,18625.52
538,2020-11-23,18410.87
539,2020-11-23,18739.35
540,2020-11-23,18575.22
541,2020-11-23,18626.08
542,2020-11-23,18430.59
543,2020-11-23,18135.67
544,2020-11-23,18229.27
545,2020-11-23,18219.19
546,2020-11-23,18647.24
547,2020-11-23,18471.56
548,2020-11-23,18453.65
549,2020-11-23,18529.23
550,2020-11-23,18460.98
551,2020-11-23,18379.32
552,2020-11-24,19177.88
553,2020-11-24,18933.16
554,2020-11-24,19059.87
555,2020-11-24,19155.44
556,2020-11-24,19257.36
557,2020-11-24,19201.49
558,2020-11-24,19298.27
559,2020-11-24,19365.45
560,2020-11-24,19386.93
561,2020-11-24,19178.55
562,2020-11-24,19058.04
563,2020-11-24,18887.78
564,2020-11-24,18970.2
565,2020-11-24,18385.74
566,2020-11-24,18365.45
567,2020-11-24,18471.22
568,2020-11-24,18350.53
569,2020-11-24,18362.3
570,2020-11-24,18422.12
571,2020-11-24,18316.19
572,2020-11-24,18403.32
573,2020-11-24,18385.48
574,2020-11-24,18629.64
575,2020-11-24,18443.9
576,2020-11-25,19315.58
577,2020-11-25,18875.92
578,2020-11-25,18903.08
579,2020-11-25,18994.86
580,2020-11-25,19057.3
581,2020-11-25,19065.05
582,2020-11-25,18987.09
583,2020-11-25,19141.33
584,2020-11-25,19286.18
585,2020-11-25,19208.14
586,2020-11-25,19293.48
587,2020-11-25,19124.22
588,2020-11-25,19165.69
589,2020-11-25,19132.58
590,2020-11-25,18988.86
591,2020-11-25,18907.51
592,2020-11-25,18884.76
593,2020-11-25,18693.11
594,2020-11-25,18826.33
595,2020-11-25,18974.06
596,2020-11-25,19087.87
597,2020-11-25,19167.86
598,2020-11-25,19157.16
599,2020-11-25,19296.48
600,2020-11-26,17076.0
601,2020-11-26,16784.52
602,2020-11-26,16919.01
603,2020-11-26,16693.52
604,2020-11-26,17374.02
605,2020-11-26,16589.16
606,2020-11-26,16556.31
607,2020-11-26,17167.91
608,2020-11-26,17064.53
609,2020-11-26,16736.89
610,2020-11-26,17116.35
611,2020-11-26,17116.35
612,2020-11-26,18725.76
613,2020-11-26,18804.48
614,2020-11-26,18410.15
615,2020-11-26,17955.58
616,2020-11-26,17780.06
617,2020-11-26,17932.4
618,2020-11-26,18779.87
619,2020-11-26,17616.23
